Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF_x,PTS,target,PF_y,SF,SG,C,PG,SG-SF,PF-SF,SG-PG,SF-PF,PF-C,C-PF,MEM,CHA,BOS,PHI,ORL,MIA,MIN,OKC,HOU,UTA,SAC,GSW,LAL,NYK,DET,MIL,IND,DEN,ATL,CLE,PHO,NOK,CHI,WAS,NJN,SAS,POR,LAC,DAL,TOR,TOT
Terry Dehere,22,64,6.0,759,129,342,0.377,23,57,0.404,106,285,0.372,0.411,61,81,0.753,25,43,68,78,28,3,61,69,342,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hank McDowell,22,30,1.0,335,34,84,0.405,0,0,-1.0,34,84,0.405,0.405,27,41,0.659,41,59,100,20,6,8,21,52,95,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike McGee,22,39,0.0,352,80,172,0.465,0,4,0.0,80,168,0.476,0.465,31,53,0.585,34,15,49,16,18,3,34,59,191,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrell Griffith,22,81,0.0,2867,716,1544,0.464,10,52,0.192,706,1492,0.473,0.467,229,320,0.716,79,209,288,194,106,40,231,219,1671,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Hurley,22,19,19.0,499,54,146,0.37,2,16,0.125,52,130,0.4,0.377,24,30,0.8,6,28,34,115,13,1,48,28,134,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wayne Robinson,22,81,0.0,1592,234,509,0.46,0,6,0.0,234,503,0.465,0.46,175,240,0.729,117,177,294,112,46,24,149,186,643,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anfernee Hardaway,22,82,82.0,3015,509,1092,0.466,50,187,0.267,459,905,0.507,0.489,245,330,0.742,192,247,439,544,190,51,292,205,1313,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy King,22,62,1.0,868,110,255,0.431,5,34,0.147,105,221,0.475,0.441,54,77,0.701,43,67,110,88,21,13,60,76,279,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Lorenzo Romar,22,53,0.0,726,87,211,0.412,2,6,0.333,85,205,0.415,0.417,43,63,0.683,10,46,56,136,27,3,52,64,219,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Faried,22,46,39.0,1037,181,309,0.586,0,0,-1.0,181,309,0.586,0.586,109,164,0.665,142,210,352,36,34,47,54,116,471,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Bradley,22,51,1.0,339,55,122,0.451,0,1,0.0,55,121,0.455,0.451,42,62,0.677,12,26,38,22,14,6,37,61,152,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Bradley,22,39,0.0,331,54,103,0.524,0,1,0.0,54,102,0.529,0.524,29,48,0.604,31,34,65,11,12,5,28,37,137,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Jones,22,58,8.0,666,65,128,0.508,0,1,0.0,65,127,0.512,0.508,59,75,0.787,49,87,136,11,11,42,25,124,189,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rolando Blackman,22,82,16.0,1979,439,855,0.513,1,4,0.25,438,851,0.515,0.514,212,276,0.768,97,157,254,105,46,30,113,122,1091,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gene Banks,22,80,4.0,1700,311,652,0.477,0,8,0.0,311,644,0.483,0.477,145,212,0.684,157,254,411,147,55,17,106,199,767,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
